eid,bracket,t_hr,cost,gas_cost,food_cost,toll_cost,exp_fine
88,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
88,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
88,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
88,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
89,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
89,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
89,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
89,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
90,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
90,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
90,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
90,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
91,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
91,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
91,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
91,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
92,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
92,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
92,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
